wl,B1,B2,B3,SMA_M2,PS26,CDS_M1,CDS_M2,SMA39,FG56
526.5,0.117,0.161,0.146,0.047,0.04,0.013,0.022, , 
527,0.116,0.161,0.146,0.047,0.039,0.013,0.022,0.01,0.005
527.5,0.116,0.16,0.145,0.046,0.039,0.012,0.022, , 
528,0.115,0.159,0.144,0.046,0.038,0.012,0.022,0.01,0.005
528.5,0.114,0.158,0.143,0.045,0.038,0.012,0.022, , 
529,0.114,0.157,0.142,0.045,0.037,0.012,0.022,0.01,0.005
529.5,0.113,0.156,0.141,0.044,0.037,0.012,0.021, , 
530,0.112,0.155,0.14,0.044,0.036,0.012,0.021,0.009,0.005
530.5,0.112,0.154,0.139,0.043,0.036,0.012,0.021, , 
531,0.111,0.153,0.138,0.043,0.036,0.011,0.021,0.009,0.005
531.5,0.11,0.152,0.138,0.043,0.035,0.011,0.021, , 
532,0.11,0.151,0.137,0.042,0.035,0.011,0.021,0.009,0.005
532.5,0.109,0.151,0.136,0.042,0.034,0.011,0.021, , 
533,0.108,0.15,0.135,0.042,0.034,0.011,0.021,0.009,0.005
533.5,0.108,0.149,0.134,0.041,0.034,0.011,0.021, , 
534,0.107,0.148,0.133,0.041,0.033,0.011,0.02,0.008,0.005
534.5,0.106,0.147,0.133,0.041,0.033,0.011,0.02, , 
535,0.106,0.146,0.132,0.041,0.033,0.011,0.02,0.008,0.005
535.5,0.105,0.145,0.131,0.04,0.032,0.011,0.02, , 
536,0.105,0.145,0.13,0.04,0.032,0.01,0.02,0.008,0.005
536.5,0.104,0.144,0.129,0.039,0.032,0.01,0.02, , 
537,0.104,0.143,0.129,0.039,0.031,0.01,0.02,0.008,0.005
537.5,0.103,0.143,0.128,0.039,0.031,0.01,0.02, , 
538,0.103,0.142,0.127,0.039,0.031,0.01,0.02,0.008,0.005
538.5,0.102,0.141,0.126,0.039,0.031,0.01,0.02, , 
539,0.101,0.14,0.126,0.038,0.031,0.01,0.02,0.007,0.005
539.5,0.101,0.14,0.125,0.038,0.03,0.01,0.02, , 
540,0.1,0.139,0.124,0.038,0.03,0.01,0.02,0.007,0.005
540.5,0.1,0.138,0.124,0.038,0.03,0.01,0.02, , 
541,0.099,0.138,0.123,0.038,0.03,0.01,0.02,0.007,0.005
541.5,0.099,0.137,0.122,0.038,0.029,0.01,0.02, , 
542,0.098,0.136,0.122,0.037,0.029,0.009,0.019,0.007,0.005
542.5,0.098,0.135,0.121,0.037,0.029,0.009,0.019, , 
543,0.097,0.135,0.12,0.037,0.029,0.009,0.019,0.007,0.004
543.5,0.097,0.134,0.12,0.037,0.029,0.009,0.019, , 
544,0.096,0.133,0.119,0.037,0.029,0.009,0.019,0.007,0.005
544.5,0.096,0.133,0.118,0.037,0.028,0.009,0.019, , 
545,0.095,0.132,0.118,0.037,0.028,0.009,0.019,0.007,0.005
545.5,0.095,0.132,0.117,0.036,0.028,0.009,0.019, , 
546,0.094,0.131,0.116,0.036,0.028,0.009,0.019,0.007,0.005
546.5,0.094,0.13,0.116,0.036,0.028,0.009,0.019, , 
547,0.093,0.13,0.115,0.036,0.028,0.009,0.019,0.007,0.005
547.5,0.093,0.129,0.115,0.036,0.028,0.009,0.019, , 
548,0.092,0.128,0.114,0.036,0.028,0.009,0.019,0.007,0.004
548.5,0.092,0.128,0.113,0.036,0.027,0.009,0.019, , 
549,0.091,0.127,0.113,0.036,0.027,0.009,0.019,0.006,0.004
549.5,0.091,0.126,0.112,0.036,0.027,0.009,0.019, , 
550,0.09,0.126,0.112,0.036,0.027,0.009,0.019,0.006,0.004
550.5,0.09,0.125,0.111,0.035,0.027,0.009,0.019, , 
551,0.09,0.125,0.11,0.035,0.027,0.009,0.019,0.006,0.004
551.5,0.089,0.124,0.11,0.035,0.027,0.009,0.019, , 
552,0.089,0.123,0.109,0.035,0.026,0.009,0.019,0.006,0.004
552.5,0.088,0.123,0.109,0.035,0.026,0.009,0.019, , 
553,0.088,0.122,0.108,0.035,0.026,0.009,0.019,0.006,0.004
553.5,0.087,0.122,0.108,0.035,0.026,0.009,0.019, , 
554,0.087,0.121,0.107,0.035,0.026,0.009,0.019,0.006,0.004
554.5,0.087,0.121,0.107,0.035,0.026,0.009,0.019, , 
555,0.086,0.12,0.106,0.035,0.026,0.009,0.019,0.006,0.004
555.5,0.086,0.12,0.105,0.035,0.026,0.009,0.019, , 
556,0.085,0.119,0.105,0.035,0.026,0.009,0.019,0.006,0.004
556.5,0.085,0.118,0.104,0.035,0.026,0.009,0.019, , 
557,0.084,0.118,0.104,0.035,0.026,0.009,0.019,0.006,0.004
557.5,0.084,0.117,0.103,0.034,0.026,0.009,0.019, , 
558,0.084,0.117,0.103,0.034,0.026,0.009,0.019,0.006,0.004
558.5,0.083,0.116,0.102,0.034,0.026,0.009,0.019, , 
559,0.083,0.116,0.102,0.034,0.026,0.009,0.019,0.006,0.004
559.5,0.083,0.115,0.101,0.034,0.026,0.009,0.019, , 
560,0.082,0.115,0.101,0.034,0.025,0.009,0.019,0.006,0.004
560.5,0.082,0.114,0.1,0.034,0.025,0.009,0.019, , 
561,0.081,0.114,0.1,0.034,0.025,0.009,0.019,0.006,0.004
561.5,0.081,0.113,0.099,0.034,0.025,0.009,0.019, , 
562,0.081,0.113,0.099,0.034,0.025,0.009,0.019,0.005,0.004
562.5,0.08,0.112,0.098,0.034,0.025,0.009,0.019, , 
563,0.08,0.112,0.098,0.034,0.025,0.009,0.019,0.005,0.004
563.5,0.08,0.111,0.097,0.034,0.025,0.009,0.019, , 
564,0.079,0.111,0.097,0.034,0.025,0.009,0.019,0.005,0.004
564.5,0.079,0.11,0.096,0.034,0.025,0.009,0.019, , 
565,0.078,0.11,0.096,0.034,0.025,0.009,0.019,0.005,0.004
565.5,0.078,0.109,0.095,0.034,0.025,0.009,0.019, , 
566,0.078,0.109,0.095,0.034,0.025,0.009,0.019,0.005,0.004
566.5,0.077,0.108,0.095,0.034,0.025,0.009,0.019, , 
567,0.077,0.108,0.094,0.034,0.025,0.009,0.019,0.005,0.004
567.5,0.077,0.107,0.094,0.034,0.025,0.009,0.019, , 
568,0.077,0.107,0.094,0.034,0.025,0.009,0.019,0.005,0.004
568.5,0.076,0.107,0.093,0.034,0.024,0.009,0.019, , 
569,0.076,0.106,0.093,0.034,0.024,0.009,0.019,0.005,0.004
569.5,0.076,0.106,0.092,0.034,0.024,0.009,0.019, , 
570,0.075,0.105,0.092,0.033,0.024,0.009,0.019,0.005,0.004
570.5,0.075,0.105,0.091,0.033,0.024,0.009,0.019, , 
571,0.075,0.105,0.091,0.033,0.024,0.009,0.019,0.005,0.004
571.5,0.074,0.104,0.091,0.033,0.024,0.009,0.019, , 
572,0.074,0.104,0.09,0.033,0.024,0.009,0.019,0.005,0.004
572.5,0.074,0.103,0.09,0.033,0.024,0.009,0.019, , 
573,0.073,0.103,0.089,0.033,0.024,0.009,0.019,0.005,0.004
573.5,0.073,0.102,0.089,0.033,0.024,0.009,0.019, , 
574,0.073,0.102,0.089,0.033,0.024,0.008,0.019,0.005,0.004
574.5,0.072,0.102,0.088,0.033,0.024,0.008,0.019, , 
575,0.072,0.101,0.088,0.033,0.024,0.008,0.019,0.005,0.004
575.5,0.072,0.101,0.088,0.033,0.024,0.009,0.019, , 
576,0.072,0.1,0.087,0.033,0.024,0.008,0.019,0.005,0.004
576.5,0.071,0.1,0.087,0.033,0.024,0.008,0.019, , 
577,0.071,0.1,0.087,0.033,0.024,0.008,0.019,0.005,0.004
577.5,0.071,0.099,0.086,0.033,0.024,0.008,0.019, , 
578,0.071,0.099,0.086,0.033,0.024,0.008,0.019,0.005,0.004
578.5,0.07,0.099,0.086,0.033,0.024,0.009,0.019, , 
579,0.07,0.098,0.085,0.033,0.024,0.008,0.019,0.005,0.004
579.5,0.07,0.098,0.085,0.033,0.024,0.008,0.019, , 
580,0.07,0.097,0.084,0.033,0.023,0.008,0.019,0.004,0.004
580.5,0.069,0.097,0.084,0.033,0.023,0.008,0.019, , 
581,0.069,0.097,0.084,0.033,0.023,0.008,0.019,0.004,0.004
581.5,0.069,0.096,0.083,0.033,0.023,0.008,0.019, , 
582,0.069,0.096,0.083,0.033,0.023,0.008,0.019,0.004,0.004
582.5,0.068,0.096,0.083,0.033,0.023,0.008,0.019, , 
583,0.068,0.095,0.082,0.033,0.023,0.008,0.019,0.004,0.004
583.5,0.068,0.095,0.082,0.033,0.023,0.008,0.019, , 
584,0.068,0.095,0.082,0.033,0.023,0.008,0.019,0.004,0.004
584.5,0.067,0.094,0.081,0.033,0.023,0.008,0.019, , 
585,0.067,0.094,0.081,0.033,0.023,0.008,0.019,0.004,0.004
585.5,0.067,0.094,0.081,0.033,0.023,0.008,0.019, , 
586,0.067,0.093,0.08,0.032,0.023,0.008,0.019,0.004,0.003
586.5,0.066,0.093,0.08,0.033,0.023,0.008,0.019, , 
587,0.066,0.093,0.08,0.033,0.023,0.008,0.019,0.004,0.004
587.5,0.066,0.093,0.079,0.033,0.023,0.008,0.019, , 
588,0.066,0.092,0.079,0.032,0.023,0.008,0.019,0.004,0.003
588.5,0.065,0.092,0.079,0.032,0.023,0.008,0.019, , 
589,0.065,0.092,0.079,0.032,0.023,0.008,0.019,0.004,0.003
589.5,0.065,0.091,0.078,0.032,0.023,0.008,0.019, , 
590,0.065,0.091,0.078,0.032,0.023,0.008,0.019,0.004,0.003
590.5,0.065,0.091,0.078,0.032,0.023,0.008,0.019, , 
591,0.064,0.091,0.077,0.032,0.023,0.008,0.019,0.004,0.003
591.5,0.064,0.09,0.077,0.032,0.023,0.008,0.019, , 
592,0.064,0.09,0.077,0.032,0.023,0.008,0.019,0.004,0.003
592.5,0.064,0.09,0.077,0.032,0.023,0.008,0.019, , 
593,0.064,0.09,0.076,0.032,0.023,0.008,0.019,0.004,0.003
593.5,0.063,0.089,0.076,0.032,0.023,0.008,0.019, , 
594,0.063,0.089,0.076,0.032,0.023,0.008,0.019,0.004,0.003
594.5,0.063,0.089,0.075,0.032,0.023,0.008,0.019, , 
595,0.063,0.089,0.075,0.032,0.023,0.008,0.019,0.004,0.003
595.5,0.063,0.088,0.075,0.032,0.023,0.008,0.019, , 
596,0.062,0.088,0.075,0.032,0.023,0.008,0.019,0.004,0.003
596.5,0.062,0.088,0.074,0.032,0.023,0.008,0.019, , 
597,0.062,0.087,0.074,0.032,0.023,0.008,0.019,0.004,0.003
597.5,0.062,0.087,0.074,0.032,0.023,0.008,0.019, , 
598,0.062,0.087,0.074,0.032,0.023,0.008,0.019,0.004,0.003
598.5,0.062,0.087,0.074,0.032,0.023,0.008,0.019, , 
599,0.061,0.087,0.073,0.032,0.023,0.008,0.019,0.004,0.003
599.5,0.061,0.086,0.073,0.032,0.023,0.008,0.019, , 
600,0.061,0.086,0.073,0.032,0.023,0.008,0.019,0.004,0.003
600.5,0.061,0.086,0.073,0.032,0.023,0.008,0.019, , 
601,0.061,0.086,0.072,0.032,0.023,0.008,0.019,0.004,0.003
601.5,0.06,0.085,0.072,0.032,0.022,0.008,0.019, , 
602,0.06,0.085,0.072,0.032,0.022,0.008,0.019,0.004,0.003
602.5,0.06,0.085,0.071,0.032,0.022,0.008,0.019, , 
603,0.06,0.085,0.071,0.032,0.022,0.008,0.019,0.004,0.003
603.5,0.06,0.084,0.071,0.032,0.022,0.008,0.019, , 
604,0.06,0.084,0.071,0.032,0.022,0.008,0.019,0.004,0.003
604.5,0.059,0.084,0.071,0.032,0.022,0.008,0.019, , 
605,0.059,0.084,0.07,0.032,0.022,0.008,0.019,0.004,0.003
605.5,0.059,0.083,0.07,0.032,0.022,0.008,0.019, , 
606,0.059,0.083,0.07,0.032,0.022,0.008,0.019,0.004,0.003
606.5,0.059,0.083,0.07,0.032,0.022,0.008,0.019, , 
607,0.059,0.083,0.069,0.032,0.022,0.008,0.019,0.004,0.003
607.5,0.059,0.083,0.069,0.032,0.022,0.008,0.019, , 
608,0.058,0.082,0.069,0.032,0.022,0.008,0.019,0.004,0.003
608.5,0.058,0.082,0.069,0.032,0.022,0.008,0.019, , 
609,0.058,0.082,0.068,0.032,0.022,0.008,0.019,0.004,0.003
609.5,0.058,0.082,0.068,0.032,0.022,0.008,0.019, , 
610,0.058,0.081,0.068,0.032,0.022,0.008,0.019,0.003,0.003
610.5,0.057,0.081,0.068,0.032,0.022,0.008,0.019, , 
611,0.057,0.081,0.067,0.032,0.022,0.008,0.019,0.004,0.003
611.5,0.057,0.081,0.067,0.032,0.022,0.008,0.019, , 
612,0.057,0.081,0.067,0.032,0.022,0.008,0.019,0.003,0.003
612.5,0.057,0.08,0.067,0.032,0.022,0.008,0.019, , 
613,0.057,0.08,0.067,0.032,0.022,0.008,0.019,0.004,0.003
613.5,0.057,0.08,0.066,0.032,0.022,0.008,0.019, , 
614,0.056,0.08,0.066,0.032,0.022,0.008,0.019,0.004,0.003
614.5,0.056,0.079,0.066,0.032,0.022,0.008,0.019, , 
615,0.056,0.079,0.066,0.032,0.022,0.008,0.019,0.004,0.003
615.5,0.056,0.079,0.065,0.032,0.022,0.008,0.019, , 
616,0.056,0.079,0.065,0.032,0.022,0.008,0.019,0.004,0.003
616.5,0.056,0.078,0.065,0.032,0.022,0.008,0.019, , 
617,0.056,0.078,0.065,0.032,0.022,0.008,0.019,0.003,0.003
617.5,0.055,0.078,0.065,0.032,0.022,0.008,0.019, , 
618,0.055,0.078,0.065,0.032,0.022,0.008,0.019,0.004,0.003
618.5,0.055,0.078,0.064,0.032,0.022,0.008,0.019, , 
619,0.055,0.077,0.064,0.032,0.022,0.008,0.019,0.003,0.003
619.5,0.055,0.077,0.064,0.032,0.022,0.008,0.019, , 
620,0.055,0.077,0.064,0.032,0.022,0.008,0.019,0.003,0.003
620.5,0.055,0.077,0.063,0.032,0.022,0.008,0.019, , 
621,0.055,0.077,0.063,0.032,0.022,0.008,0.019,0.003,0.003
621.5,0.054,0.077,0.063,0.032,0.022,0.008,0.019, , 
622,0.054,0.076,0.063,0.032,0.022,0.008,0.019,0.003,0.003
622.5,0.054,0.076,0.063,0.032,0.022,0.008,0.019, , 
623,0.054,0.076,0.063,0.032,0.022,0.008,0.019,0.003,0.003
623.5,0.054,0.076,0.062,0.032,0.022,0.008,0.019, , 
624,0.054,0.076,0.062,0.032,0.022,0.008,0.019,0.003,0.003
624.5,0.053,0.075,0.062,0.032,0.022,0.008,0.019, , 
625,0.053,0.075,0.062,0.032,0.022,0.008,0.019,0.003,0.003
625.5,0.053,0.075,0.062,0.032,0.022,0.008,0.019, , 
626,0.053,0.075,0.062,0.032,0.022,0.008,0.019,0.003,0.003
626.5,0.053,0.075,0.061,0.032,0.022,0.008,0.019, , 
627,0.053,0.074,0.061,0.032,0.022,0.008,0.019,0.003,0.003
627.5,0.053,0.074,0.061,0.032,0.022,0.008,0.019, , 
628,0.053,0.074,0.061,0.032,0.022,0.008,0.019,0.003,0.003
628.5,0.052,0.074,0.061,0.032,0.022,0.008,0.019, , 
629,0.052,0.074,0.061,0.032,0.022,0.008,0.019,0.003,0.003
629.5,0.052,0.073,0.06,0.032,0.022,0.008,0.019, , 
630,0.052,0.073,0.06,0.032,0.022,0.008,0.019,0.003,0.003
630.5,0.052,0.073,0.06,0.032,0.022,0.008,0.019, , 
631,0.052,0.073,0.06,0.032,0.022,0.008,0.019,0.003,0.003
631.5,0.052,0.073,0.06,0.032,0.022,0.008,0.019, , 
632,0.051,0.072,0.06,0.032,0.022,0.008,0.019,0.003,0.003
632.5,0.051,0.072,0.059,0.032,0.022,0.008,0.019, , 
633,0.051,0.072,0.059,0.032,0.022,0.008,0.019,0.003,0.003
633.5,0.051,0.072,0.059,0.032,0.022,0.008,0.019, , 
634,0.051,0.072,0.059,0.032,0.022,0.008,0.019,0.003,0.003
634.5,0.051,0.072,0.059,0.032,0.022,0.008,0.019, , 
635,0.051,0.071,0.059,0.032,0.021,0.008,0.019,0.003,0.003
635.5,0.051,0.071,0.059,0.032,0.021,0.008,0.019, , 
636,0.051,0.071,0.058,0.032,0.021,0.008,0.019,0.003,0.003
636.5,0.05,0.071,0.058,0.032,0.022,0.008,0.019, , 
637,0.05,0.071,0.058,0.032,0.022,0.008,0.019,0.003,0.003
637.5,0.05,0.071,0.058,0.032,0.022,0.008,0.019, , 
638,0.05,0.071,0.058,0.032,0.021,0.008,0.019,0.003,0.003
638.5,0.05,0.07,0.058,0.032,0.021,0.008,0.019, , 
639,0.05,0.07,0.057,0.032,0.021,0.008,0.019,0.003,0.003
639.5,0.05,0.07,0.057,0.032,0.021,0.008,0.019, , 
640,0.05,0.07,0.057,0.032,0.021,0.008,0.019,0.003,0.003
640.5,0.05,0.07,0.057,0.032,0.021,0.008,0.019, , 
641,0.049,0.07,0.057,0.032,0.021,0.008,0.019,0.003,0.003
641.5,0.049,0.07,0.057,0.032,0.021,0.008,0.019, , 
642,0.049,0.069,0.057,0.032,0.021,0.008,0.019,0.003,0.003
642.5,0.049,0.069,0.057,0.032,0.021,0.008,0.019, , 
643,0.049,0.069,0.056,0.032,0.021,0.008,0.019,0.003,0.003
643.5,0.049,0.069,0.056,0.032,0.021,0.008,0.019, , 
644,0.049,0.069,0.056,0.032,0.021,0.008,0.019,0.003,0.003
644.5,0.049,0.069,0.056,0.032,0.021,0.008,0.019, , 
645,0.048,0.069,0.056,0.032,0.021,0.008,0.019,0.003,0.003
645.5,0.048,0.068,0.056,0.032,0.021,0.008,0.019, , 
646,0.048,0.068,0.056,0.032,0.021,0.008,0.019,0.003,0.003
646.5,0.048,0.068,0.055,0.032,0.021,0.008,0.019, , 
647,0.048,0.068,0.055,0.032,0.021,0.008,0.019,0.003,0.003
647.5,0.048,0.068,0.055,0.032,0.021,0.008,0.019, , 
648,0.048,0.068,0.055,0.032,0.021,0.008,0.019,0.003,0.003
648.5,0.048,0.068,0.055,0.032,0.021,0.008,0.019, , 
649,0.048,0.067,0.055,0.032,0.021,0.008,0.019,0.003,0.003
649.5,0.047,0.067,0.055,0.032,0.021,0.008,0.019, , 
650,0.047,0.067,0.055,0.032,0.021,0.008,0.019,0.003,0.003
650.5,0.047,0.067,0.055,0.032,0.021,0.008,0.019, , 
651,0.047,0.067,0.054,0.032,0.022,0.008,0.019,0.003,0.003
651.5,0.047,0.067,0.054,0.032,0.021,0.008,0.019, , 
652,0.047,0.066,0.054,0.032,0.022,0.008,0.019,0.003,0.003
652.5,0.047,0.066,0.054,0.032,0.022,0.008,0.019, , 
653,0.047,0.066,0.054,0.032,0.022,0.008,0.019,0.003,0.003
653.5,0.047,0.066,0.054,0.032,0.022,0.008,0.019, , 
654,0.047,0.066,0.054,0.032,0.022,0.008,0.019,0.002,0.003
654.5,0.046,0.066,0.054,0.032,0.022,0.008,0.019, , 
655,0.046,0.066,0.054,0.032,0.021,0.008,0.018,0.003,0.003
655.5,0.046,0.065,0.053,0.032,0.021,0.008,0.018, , 
656,0.046,0.065,0.053,0.032,0.021,0.008,0.018,0.003,0.003
656.5,0.046,0.065,0.053,0.032,0.022,0.008,0.018, , 
657,0.046,0.065,0.053,0.032,0.022,0.008,0.018,0.003,0.003
657.5,0.046,0.065,0.053,0.032,0.022,0.008,0.018, , 
658,0.046,0.065,0.053,0.032,0.022,0.008,0.018,0.003,0.003
658.5,0.046,0.065,0.053,0.032,0.022,0.008,0.018, , 
659,0.046,0.065,0.053,0.032,0.022,0.008,0.018,0.003,0.003
659.5,0.046,0.064,0.053,0.032,0.022,0.008,0.018, , 
660,0.046,0.064,0.053,0.032,0.022,0.008,0.018,0.003,0.003
660.5,0.045,0.064,0.053,0.032,0.022,0.008,0.018, , 
661,0.045,0.064,0.053,0.032,0.022,0.008,0.018,0.003,0.003
661.5,0.045,0.064,0.052,0.032,0.022,0.008,0.018, , 
662,0.045,0.064,0.052,0.032,0.021,0.008,0.018,0.003,0.003
662.5,0.045,0.064,0.052,0.032,0.022,0.008,0.018, , 
663,0.045,0.064,0.052,0.032,0.022,0.008,0.018,0.003,0.003
663.5,0.045,0.064,0.052,0.032,0.021,0.008,0.018, , 
664,0.045,0.064,0.052,0.032,0.021,0.008,0.018,0.003,0.003
664.5,0.045,0.063,0.052,0.032,0.021,0.008,0.018, , 
665,0.045,0.063,0.052,0.032,0.021,0.008,0.018,0.003,0.002
665.5,0.044,0.063,0.052,0.032,0.021,0.008,0.018, , 
666,0.044,0.063,0.052,0.032,0.021,0.008,0.018,0.003,0.002
666.5,0.044,0.063,0.052,0.032,0.021,0.008,0.018, , 
667,0.044,0.063,0.052,0.032,0.021,0.008,0.018,0.003,0.003
667.5,0.044,0.063,0.052,0.032,0.021,0.008,0.018, , 
668,0.044,0.063,0.051,0.032,0.021,0.008,0.018,0.003,0.002
668.5,0.044,0.063,0.051,0.032,0.021,0.008,0.018, , 
669,0.044,0.063,0.051,0.032,0.021,0.008,0.018,0.003,0.002
669.5,0.044,0.063,0.051,0.032,0.021,0.008,0.018, , 
670,0.044,0.063,0.051,0.032,0.021,0.008,0.018,0.003,0.002
670.5,0.044,0.063,0.051,0.032,0.021,0.008,0.018, , 
671,0.044,0.063,0.051,0.032,0.021,0.008,0.018,0.003,0.002
671.5,0.043,0.062,0.051,0.032,0.021,0.008,0.018, , 
672,0.043,0.062,0.051,0.032,0.021,0.008,0.018,0.002,0.002
672.5,0.043,0.062,0.051,0.032,0.021,0.008,0.018, , 
673,0.043,0.062,0.051,0.032,0.021,0.008,0.018,0.003,0.002
673.5,0.043,0.062,0.051,0.032,0.021,0.008,0.018, , 
674,0.043,0.062,0.051,0.032,0.021,0.008,0.018,0.003,0.002
674.5,0.043,0.062,0.05,0.032,0.021,0.008,0.018, , 
675,0.043,0.061,0.05,0.032,0.021,0.008,0.018,0.002,0.002
675.5,0.043,0.061,0.05,0.032,0.021,0.008,0.018, , 
676,0.042,0.061,0.05,0.032,0.021,0.008,0.018,0.002,0.002
676.5,0.042,0.061,0.05,0.032,0.021,0.008,0.018, , 
677,0.042,0.061,0.05,0.032,0.021,0.008,0.018,0.002,0.002
677.5,0.042,0.061,0.05,0.032,0.021,0.008,0.018, , 
678,0.042,0.061,0.05,0.032,0.021,0.008,0.018,0.002,0.002
678.5,0.042,0.06,0.05,0.032,0.021,0.008,0.018, , 
679,0.042,0.06,0.05,0.032,0.021,0.008,0.018,0.002,0.002
679.5,0.042,0.06,0.049,0.032,0.021,0.008,0.018, , 
680,0.042,0.06,0.049,0.032,0.021,0.008,0.018,0.002,0.002
680.5,0.042,0.06,0.049,0.032,0.021,0.008,0.018, , 
681,0.042,0.06,0.049,0.032,0.021,0.008,0.018,0.002,0.002
681.5,0.042,0.059,0.049,0.032,0.021,0.008,0.018, , 
682,0.042,0.059,0.049,0.032,0.021,0.008,0.018,0.002,0.002
682.5,0.042,0.059,0.049,0.032,0.021,0.008,0.018, , 
683,0.042,0.059,0.049,0.032,0.021,0.008,0.018,0.002,0.002
683.5,0.042,0.059,0.048,0.032,0.021,0.008,0.018, , 
684,0.041,0.059,0.048,0.032,0.021,0.008,0.018,0.002,0.002
684.5,0.041,0.059,0.048,0.032,0.021,0.008,0.018, , 
685,0.041,0.058,0.048,0.032,0.021,0.008,0.018,0.002,0.002
685.5,0.041,0.058,0.048,0.032,0.021,0.008,0.018, , 
686,0.041,0.058,0.048,0.032,0.021,0.008,0.018,0.002,0.002
686.5,0.041,0.058,0.048,0.032,0.021,0.008,0.018, , 
687,0.041,0.058,0.048,0.032,0.021,0.008,0.018,0.002,0.002
687.5,0.041,0.058,0.048,0.032,0.021,0.008,0.018, , 
688,0.041,0.058,0.048,0.032,0.021,0.008,0.018,0.002,0.002
688.5,0.041,0.057,0.048,0.032,0.021,0.008,0.018, , 
689,0.041,0.058,0.047,0.032,0.021,0.008,0.018,0.002,0.002
689.5,0.041,0.057,0.047,0.032,0.021,0.008,0.018, , 
690,0.041,0.057,0.047,0.032,0.021,0.008,0.018,0.002,0.002
690.5,0.041,0.057,0.047,0.032,0.021,0.008,0.018, , 
691,0.04,0.057,0.047,0.032,0.021,0.008,0.018,0.002,0.002
691.5,0.04,0.057,0.047,0.032,0.021,0.008,0.018, , 
692,0.04,0.057,0.047,0.032,0.021,0.008,0.018,0.002,0.002
692.5,0.04,0.057,0.047,0.032,0.021,0.008,0.018, , 
693,0.04,0.057,0.047,0.032,0.021,0.008,0.018,0.002,0.002
693.5,0.04,0.057,0.047,0.032,0.021,0.008,0.018, , 
694,0.04,0.057,0.047,0.032,0.021,0.008,0.018,0.002,0.002
694.5,0.04,0.057,0.046,0.032,0.021,0.008,0.018, , 
695,0.04,0.056,0.046,0.032,0.021,0.008,0.018,0.002,0.002
695.5,0.04,0.056,0.046,0.032,0.021,0.008,0.018, , 
696,0.04,0.056,0.046,0.032,0.021,0.008,0.018,0.002,0.002
696.5,0.04,0.056,0.046,0.032,0.021,0.008,0.018, , 
697,0.04,0.056,0.046,0.032,0.021,0.008,0.018,0.002,0.002
697.5,0.04,0.056,0.046,0.032,0.021,0.008,0.018, , 
698,0.04,0.056,0.045,0.031,0.02,0.008,0.018,0.002,0.002
698.5,0.04,0.056,0.045,0.031,0.021,0.008,0.018, , 
699,0.04,0.056,0.045,0.032,0.02,0.008,0.018,0.002,0.002
699.5,0.04,0.055,0.045,0.032,0.02,0.008,0.018, , 
700,0.04,0.055,0.045,0.032,0.02,0.008,0.018,0.002,0.002
